,adam_intel_param_search_0,adam_intel_param_search_1,adam_intel_param_search_2,adam_intel_param_search_3,adam_intel_param_search_4,adam_intel_param_search_5,adam_intel_param_search_6,adam_intel_param_search_7,adam_intel_param_search_8,adam_intel_param_search_9,adam_intel_param_search_10,adam_intel_param_search_11,adam_intel_param_search_12,adam_intel_param_search_13
dbName,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1,intel_images_1
num_trials,2,2,2,2,2,2,2,2,2,2,2,2,2,2
maxIterations,1,1,1,1,1,1,1,1,1,1,1,1,1,1
numLLEpochs,50,50,50,50,50,50,50,50,50,50,50,50,50,50
fineTuneEpochs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numDenseNeurons,512,512,512,512,512,512,512,512,512,512,512,512,512,512
labelSmoothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dropoutRate,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
LLLearningRate,0.001,0.0001,1.00E-05,1.00E-06,1.00E-07,1.00E-08,1.00E-09,0.001,0.0001,1.00E-05,1.00E-06,1.00E-07,1.00E-08,1.00E-09
fineTuneLearningRate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batchSize,32,32,32,32,32,32,32,32,32,32,32,32,32,32
weightClasses,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
augmentImages,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
useValidation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
earlyStoppingPatience,4,4,4,4,4,4,4,4,4,4,4,4,4,4
writeFinalModel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
modelType,inception,inception,inception,inception,inception,inception,inception,densenet,densenet,densenet,densenet,densenet,densenet,densenet
remoteDB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evaluationSize,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
TVPoolSize,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
validationRatio,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
predictionSize,32,32,32,32,32,32,32,32,32,32,32,32,32,32
citizenWeight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confidentThreshold,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numALSamplesPerIter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activeLearningLabeler,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated
alSelectionCriteria,random,random,random,random,random,random,random,random,random,random,random,random,random,random
SSLType,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted
classNoise,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
classImbalance,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
optimizer,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam,adam
